,campaign_disc_ele,cons_12m,cons_gas_12m,cons_last_month,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max
campaign_disc_ele,,,,,,,,,,,,,,,,,,,,,,
cons_12m,,1.0,0.25002233415735586,0.8871372861582076,0.33158922602800167,0.33158922602800167,0.23404893729388032,0.36561313081613017,0.25924587316744674,0.21185071867431007,-0.04162302995877848,0.06411553843109362,-0.0475260504248968,0.1216401864394052,-0.031102156009191202,0.23288506771725948,-0.0700502795432631,-0.05094810340428702,0.02753691523639748,0.11564035671396315,-0.0064497530434774655,0.13594337866875436
cons_gas_12m,,0.25002233415735586,1.0,0.16512519141073811,0.26314518116066415,0.26314518116066415,0.26805282279555365,0.28218308186017765,0.1864460463728276,0.11899571990900959,0.005713690568878069,0.04482668679972133,-0.06766460746252038,0.08035523715440915,-0.027667877374452646,0.1338191145481277,0.015581448774217892,0.021359098158847695,0.3289580049383754,0.1797995916179233,0.016085228088394646,0.10495864779189043
cons_last_month,,0.8871372861582076,0.16512519141073811,1.0,0.2868775917496789,0.2868775917496789,0.18866781584205183,0.30041687334670053,0.24590521939467222,0.3004824299020493,-0.04120945865846933,0.06569816339556256,-0.05621874625954544,0.1068266933593142,0.011490602234537278,0.31334952765115526,-0.06282814643593017,-0.04559211413711601,0.020285431983328647,0.11063780328776968,-0.007368962445930981,0.13160561457577347
forecast_base_bill_ele,,0.33158922602800167,0.26314518116066415,0.2868775917496789,1.0,1.0,0.8680958771109398,0.9664568686628979,0.8348758921794494,0.9726090245591205,0.012223771983217611,0.31877011901489527,-0.291216081751485,0.3523386917157679,0.07693905162770183,0.9664568686628979,-0.07859702205116327,-0.03061976800452443,0.13466249533011934,0.490055178807688,-0.004514665664834238,0.6660496460790992
forecast_base_bill_year,,0.33158922602800167,0.26314518116066415,0.2868775917496789,1.0,1.0,0.8680958771109398,0.9664568686628979,0.8348758921794494,0.9726090245591205,0.012223771983217611,0.31877011901489527,-0.291216081751485,0.3523386917157679,0.07693905162770183,0.9664568686628979,-0.07859702205116327,-0.03061976800452443,0.13466249533011934,0.490055178807688,-0.004514665664834238,0.6660496460790992
forecast_bill_12m,,0.23404893729388032,0.26805282279555365,0.18866781584205183,0.8680958771109398,0.8680958771109398,1.0,0.8208053011539532,0.9719564378277297,0.8273598419994586,0.056368499189286346,0.3378089785537687,-0.2677982187229083,0.31920033696496397,0.10504411731827899,0.8208053011539532,-0.08558625163295618,-0.03776345419625267,0.14754718645288484,0.6758122386909724,-0.023641997317401856,0.7599781494294663
forecast_cons,,0.36561313081613017,0.28218308186017765,0.30041687334670053,0.9664568686628979,0.9664568686628979,0.8208053011539532,1.0,0.8411219222454949,0.9832197701323125,0.03449451644279198,0.22308187297768467,-0.2145826833296603,0.26853381031558893,0.04807285189178763,1.0,-0.11282572563730645,-0.06381768984568637,0.14732002356432314,0.5276843174349772,-0.04323081867309295,0.5018899572959208
forecast_cons_12m,,0.25924587316744674,0.1864460463728276,0.24590521939467222,0.8348758921794494,0.8348758921794494,0.9719564378277297,0.8411219222454949,1.0,0.7644585966146955,0.025953900641373002,0.2738590154825334,-0.21802818812247324,0.2094053703855264,0.006229161580501368,0.7805492165683684,-0.1400124554832507,-0.10775652857182769,0.06310875050265206,0.635947731927964,0.028382521355130336,0.5941124462747355
forecast_cons_year,,0.21185071867431007,0.11899571990900959,0.3004824299020493,0.9726090245591205,0.9726090245591205,0.8273598419994586,0.9832197701323125,0.7644585966146955,1.0,-0.007673622195118044,0.19221536793653077,-0.17659344084989206,0.15889519997010906,0.08315646680607529,0.9881007716258129,-0.10637489819337945,-0.08487413125808208,0.025294669668833505,0.3623337462633935,0.012067727087923561,0.433284854082121
